GarageArea,GrLivArea,KitchenQual,TotalBsmtSF,YearBuilt
505,1505,TA,1505,1953
621,1647,Gd,1430,1977
451,1132,Gd,1132,2005
470,1764,Gd,928,1997
240,1529,TA,0,1945
336,2447,Gd,804,1919
457,1504,Gd,1346,2005
220,1163,TA,1162,1955
440,1525,Gd,756,2000
288,935,TA,935,1965
270,813,Gd,813,1930
230,2008,Ex,896,1948
514,2329,Gd,1475,1990
282,1558,TA,910,1950
528,1664,TA,832,1976
522,2110,Ex,2110,1968
684,1786,Gd,824,1997
336,1475,TA,757,1977
256,1387,Gd,811,1954
380,1708,Gd,976,2004
440,1734,Gd,912,1962
520,2414,TA,954,1900
493,1908,Gd,915,1994
506,1283,TA,931,1962
573,1212,Gd,1212,2001
672,1548,Ex,952,1925
384,980,TA,980,1967
470,1811,Ex,1073,1956
384,1056,TA,1056,1966
484,1234,Gd,1234,2007
440,1302,TA,630,1970
0,1406,Fa,319,1920
576,858,TA,858,1982
736,2324,Ex,1175,2005
414,910,Gd,105,1953
442,1611,TA,780,1964
400,1560,Gd,684,2005
630,2020,TA,0,1977
582,1338,Gd,1338,2001
312,1188,TA,1188,1962
527,1459,Gd,1459,2002
533,2260,Gd,1306,1996
605,1430,Gd,1413,2001
0,996,TA,996,1940
504,1092,TA,1092,1964
625,1250,Gd,625,2006
572,1728,Gd,864,2004
280,924,TA,924,1975
530,1199,Gd,1199,1993
300,948,TA,948,1968
429,925,TA,925,1965
366,835,TA,458,1920
610,2466,Gd,1580,2004
487,2157,Gd,924,1966
572,1060,TA,1040,1976
804,2633,Ex,2633,2001
280,1048,TA,993,1922
460,1664,TA,953,2000
360,784,TA,784,1928
473,1279,TA,1196,1977
284,1229,TA,1134,1956
244,1268,TA,1268,1954
480,1428,Gd,1428,2007
352,1125,TA,1041,1976
275,1008,TA,1008,1954
860,1630,Ex,1622,2008
673,1728,Gd,864,2003
322,1211,TA,952,1968
286,1040,TA,1040,1959
511,1707,TA,1686,1981
462,1632,TA,935,1998
528,1392,TA,1392,1957
270,1319,TA,608,1953
390,1484,Gd,742,2005
300,971,TA,971,1969
539,1062,TA,1029,1976
0,980,TA,945,1975
478,1405,Gd,1405,2003
472,1671,TA,959,2000
495,1074,TA,1056,1975
672,2320,TA,0,1948
264,918,TA,918,1979
528,1437,Gd,1437,1976
440,1069,TA,1069,1977
441,1556,TA,727,1968
510,1894,Gd,817,2002
895,1973,Gd,1935,2006
564,2978,Gd,710,1967
420,848,Gd,848,2004
400,1474,TA,384,1995
260,1056,TA,1056,1954
484,902,TA,864,1983
564,1032,TA,1032,1978
338,1077,TA,961,1920
480,1235,TA,1235,1961
719,1442,Gd,910,1990
264,987,TA,483,1971
504,1004,TA,975,1977
0,1006,TA,1006,1959
0,1716,Fa,780,1912
565,1720,Gd,860,2004
308,960,Fa,960,1920
660,1604,Gd,1604,2006
621,2217,Gd,2217,1970
540,1844,Gd,1844,1969
380,1571,TA,799,1993
577,1479,Gd,1468,1999
529,1786,TA,1499,1965
338,1632,TA,1240,1958
578,1768,Gd,866,2007
299,1096,TA,1096,1969
542,2093,TA,791,1986
453,1348,TA,660,1966
410,1456,Gd,728,2005
319,1600,TA,1484,1957
544,1700,Gd,1682,2003
389,1593,TA,808,1992
288,1363,TA,1008,1951
440,1441,TA,855,1978
866,1710,Gd,1710,2007
463,2110,Gd,948,1994
475,1479,Gd,725,1976
367,767,TA,723,1998
426,1496,Gd,654,2006
648,1567,Ex,1520,2006
308,1148,TA,980,1952
753,1970,Ex,1085,2006
750,2810,Gd,1453,1990
696,2630,Gd,1470,1998
480,2274,TA,1105,1960
433,1261,TA,1261,1958
480,1486,TA,1486,1964
240,773,TA,773,1953
462,1537,Gd,1319,1962
546,1779,Gd,866,1998
0,1225,TA,950,1959
420,848,Gd,848,2003
198,1376,TA,780,1937
440,1471,TA,729,1999
0,869,Fa,440,1923
440,1458,TA,729,1999
440,894,TA,864,1974
427,1718,TA,832,1998
611,1701,TA,1390,1975
576,864,TA,864,1972
512,1855,TA,528,1976
616,1651,TA,1606,1986
528,1224,Gd,612,2009
288,928,TA,928,1957
0,1092,Fa,0,1930
546,1641,Ex,728,1925
776,1416,TA,708,1968
736,1904,Ex,1058,2005
308,936,TA,936,1956
452,1556,TA,716,1980
400,864,TA,864,1951
900,1654,Gd,1654,2002
576,1416,Gd,816,1918
856,2365,Gd,1252,1999
436,1067,Gd,1067,1950
539,1902,TA,0,1978
420,1557,Gd,1374,2003
486,1839,TA,1195,1998
