1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
888,868.0,3.0,No,742,ALQ,130,422,Fin,1996.0,1756,TA,9303,70.04995836802664,42.0,122,5,6,872,0.0,1996,1997,204000
1040,0.0,3.0,No,616,Rec,424,0,None,1978.5061638868744,1040,TA,8430,60.0,136.0,0,5,5,1040,0.0,1978,1978,124000
1707,0.0,2.0,No,0,Unf,1686,511,RFn,1981.0,1707,TA,16669,70.04995836802664,653.0,64,6,8,1686,0.0,1981,1981,228000
914,0.0,2.0,Av,298,GLQ,572,576,Unf,1998.0,914,TA,8846,57.0,0.0,0,5,5,870,0.0,1996,1996,148000
1225,0.0,3.0,No,569,ALQ,381,0,None,1978.5061638868744,1225,TA,9320,77.0,0.0,0,5,4,950,0.0,1959,1959,128950
864,0.0,3.0,Mn,360,Rec,504,288,RFn,1972.0,864,TA,9560,120.0,0.0,0,7,5,864,0.0,1972,1972,128500
1486,0.0,3.0,No,637,BLQ,849,480,Fin,1968.0,1486,TA,9937,75.0,0.0,0,7,5,1486,0.0,1964,1999,167000
772,351.0,3.0,No,0,Unf,732,264,Unf,1979.0,1123,TA,6060,50.0,0.0,0,5,4,732,0.0,1939,1950,100000
1086,809.0,3.0,No,0,Unf,712,409,Fin,1994.0,1895,Gd,10832,70.04995836802664,0.0,46,5,7,712,0.0,1994,1996,194500
1090,0.0,2.0,No,980,ALQ,110,450,Fin,2005.0,1090,TA,7024,60.0,0.0,49,5,5,1090,0.0,2005,2006,157000
1392,1392.0,5.0,No,790,None,133,564,RFn,1978.0,2784,Gd,16692,80.0,184.0,112,5,7,1392,0.0,1978,1978,250000
1350,0.0,3.0,Gd,624,GLQ,288,520,RFn,1964.0,1350,TA,9020,82.0,259.0,0,5,6,1248,0.0,1964,1964,168500
1097,0.0,3.0,No,0,Unf,1097,672,Unf,1995.0,1097,TA,10859,112.0,0.0,64,5,5,1097,0.0,1994,1995,145000
1086,838.0,3.0,Av,956,GLQ,130,592,RFn,1998.0,1924,Gd,12011,78.0,530.0,75,5,8,1086,208.0,1998,1998,280000
1966,1174.0,4.0,No,0,Unf,1926,820,Fin,2009.0,3140,Ex,13518,104.0,860.0,78,5,9,1926,0.0,2008,2009,485000
1416,0.0,3.0,No,0,Unf,816,576,Unf,2007.0,1416,Gd,25339,70.04995836802664,0.0,0,7,5,816,0.0,1918,2007,112000
1629,0.0,3.0,Av,1300,GLQ,316,808,Fin,2002.0,1629,Gd,14536,85.0,236.0,252,5,8,1616,0.0,2002,2003,270000
1610,0.0,3.0,Mn,1200,ALQ,410,480,RFn,1977.0,1610,Gd,10603,70.04995836802664,28.0,68,7,6,1610,0.0,1977,2001,205000
1061,862.0,3.0,No,674,GLQ,76,564,RFn,1992.0,1923,Gd,10186,107.0,0.0,39,5,7,750,0.0,1992,1992,190000
1014,685.0,3.0,Mn,440,BLQ,538,420,Unf,1920.0,1699,TA,10615,107.0,0.0,74,5,3,978,0.0,1900,1970,95000
810,855.0,3.0,No,643,GLQ,167,528,Fin,2001.0,1665,Gd,8400,70.0,0.0,45,6,8,810,0.0,2001,2001,227000
1228,0.0,2.0,Mn,767,GLQ,461,472,Fin,1988.0,1228,Gd,4671,40.0,0.0,120,5,8,1228,168.0,1988,1989,189000
1069,0.0,2.0,No,559,ALQ,510,440,RFn,1977.0,1069,TA,4043,53.0,0.0,55,6,6,1069,0.0,1977,1977,140000
1152,0.0,3.0,Av,1014,GLQ,138,484,RFn,1964.0,1152,TA,14112,70.04995836802664,86.0,0,7,5,1152,0.0,1964,1964,180500
1302,0.0,3.0,Av,0,Unf,1302,436,Fin,2007.0,1302,Gd,8993,73.0,0.0,22,5,7,1302,0.0,2007,2007,176485
1844,0.0,3.0,Av,1110,Rec,734,540,RFn,1969.0,1844,Gd,16381,70.04995836802664,312.0,73,5,6,1844,0.0,1969,1969,223000
689,689.0,3.0,No,141,Rec,548,360,Unf,1928.0,1378,Gd,9600,60.0,0.0,0,9,7,689,0.0,1928,2005,161000
1142,793.0,3.0,No,0,Unf,793,550,RFn,1976.0,1935,TA,12384,70.04995836802664,233.0,113,7,7,793,0.0,1976,1976,197900
1086,0.0,3.0,Av,516,ALQ,380,484,RFn,1966.0,1086,TA,13400,85.0,1047.0,0,5,5,1024,0.0,1966,1966,159950
1453,0.0,2.86921381337252,Gd,1082,GLQ,371,445,RFn,1986.0,1453,Gd,5271,70.04995836802664,0.0,80,5,7,1453,0.0,1986,1986,190000
894,0.0,3.0,No,180,Rec,340,384,None,1966.0,894,TA,7094,99.0,0.0,0,5,5,894,0.0,1966,1966,125000
1547,720.0,2.0,None,0,None,0,672,Unf,1979.0,2320,TA,14762,70.04995836802664,0.0,144,6,5,0,0.0,1948,1950,169000
983,756.0,3.0,No,649,GLQ,321,480,Fin,1999.0,1739,Gd,2645,24.0,456.0,0,5,8,970,0.0,1999,2000,172500
1494,0.0,3.0,Gd,1443,GLQ,39,514,RFn,1998.0,1494,Gd,16196,70.04995836802664,0.0,25,5,7,1482,0.0,1998,1998,215000
1040,0.0,3.0,No,732,GLQ,308,576,None,2000.0,1040,Gd,12464,82.0,0.0,0,5,5,1040,0.0,1996,1996,152000
812,670.0,3.0,No,0,Unf,384,392,Fin,1992.0,1482,Gd,9125,70.04995836802664,170.0,25,5,7,384,0.0,1992,1992,163900
1304,983.0,2.86921381337252,No,603,BLQ,701,667,Fin,1953.0,2287,TA,15593,81.0,0.0,21,4,7,1304,0.0,1953,1953,225000
1238,1281.0,4.0,Gd,965,GLQ,245,628,RFn,1989.0,2519,Gd,26178,42.0,293.0,27,5,7,1210,0.0,1989,1990,335000
698,430.0,2.0,No,0,Unf,698,528,RFn,1980.0,1128,TA,7500,60.0,0.0,0,4,4,698,0.0,1920,1950,68400
1020,831.0,3.0,Gd,536,BLQ,169,440,RFn,1964.0,1851,Gd,9760,80.0,340.0,42,8,6,822,0.0,1964,1993,187000
1432,0.0,2.0,Gd,680,ALQ,289,588,Unf,1978.0,1432,Gd,16157,70.04995836802664,0.0,180,7,5,1360,0.0,1978,1978,194000
2069,574.0,3.0,Av,0,Unf,2153,694,Fin,2006.0,2643,Ex,13693,105.0,772.0,84,5,9,2153,0.0,2006,2006,380000
768,0.0,2.0,Av,660,None,108,396,Fin,1974.0,768,TA,7200,60.0,0.0,0,8,5,768,0.0,1972,2003,133900
1122,1121.0,4.0,No,700,ALQ,0,746,RFn,1990.0,2243,Gd,13474,116.0,246.0,44,5,7,700,0.0,1990,1991,225000
624,720.0,4.0,No,0,Unf,624,513,Unf,1916.0,1344,TA,4571,34.0,0.0,0,5,5,624,0.0,1916,1950,98000
536,576.0,3.0,No,129,Rec,175,336,Unf,1976.0,1112,TA,2592,36.0,0.0,0,3,5,536,0.0,1976,1976,85000
1196,0.0,2.0,No,197,LwQ,999,440,Unf,1957.0,1196,TA,4800,40.0,0.0,0,7,4,1196,0.0,1916,1990,109900
765,600.0,2.0,No,471,ALQ,294,440,Unf,1971.0,1365,TA,1920,24.0,376.0,36,5,5,765,0.0,1971,1971,122500
2084,0.0,2.0,Av,1636,GLQ,442,1220,Fin,2007.0,2084,Ex,14803,114.0,816.0,45,5,10,2078,0.0,2007,2008,385000
1719,0.0,1.0,Gd,1619,GLQ,100,473,Fin,1993.0,1719,Gd,10846,32.0,0.0,30,5,8,1719,0.0,1993,1993,324000
747,0.0,2.0,No,0,Unf,747,220,Unf,1945.0,747,TA,4608,47.0,0.0,0,6,4,747,0.0,1945,1950,80000
1571,0.0,3.0,Gd,0,None,1571,722,Fin,2007.0,1571,Gd,10991,89.0,80.0,36,5,8,1571,0.0,2007,2007,239000
751,611.0,3.0,Mn,0,Unf,611,502,Fin,1920.0,1362,TA,6155,60.0,0.0,0,8,6,611,0.0,1920,1999,128000
1872,0.0,3.0,Av,929,GLQ,916,604,None,1988.0,1872,TA,10400,80.0,102.0,39,5,7,1845,197.0,1988,1988,241500
1028,0.0,2.0,No,0,Unf,1008,360,Unf,1927.0,1028,TA,8960,56.0,0.0,0,6,5,1008,0.0,1927,1950,115000
1484,0.0,2.86921381337252,Av,428,GLQ,1048,472,RFn,2006.0,1484,Ex,9037,64.0,32.0,33,5,8,1476,0.0,2006,2006,265900
1687,0.0,3.0,Av,353,BLQ,60,572,None,1966.0,1687,TA,57200,70.04995836802664,0.0,0,5,5,747,0.0,1948,1950,160000
1299,573.0,3.0,Av,990,GLQ,309,531,RFn,2001.0,1872,Ex,11885,70.04995836802664,108.0,122,5,8,1299,0.0,2001,2001,261500
1105,1169.0,5.0,No,443,Rec,662,480,None,1960.0,2274,TA,11600,80.0,361.0,0,5,5,1105,0.0,1960,1960,154300
855,0.0,3.0,No,566,ALQ,289,440,None,1976.0,1456,TA,2280,24.0,0.0,0,6,6,855,0.0,1976,1976,148500
1149,467.0,3.0,Mn,370,LwQ,779,216,Unf,1926.0,1616,Gd,5400,40.0,0.0,0,7,6,1149,0.0,1926,2004,152000
1663,0.0,2.0,Gd,1116,BLQ,248,529,None,1954.0,1663,Gd,53227,70.04995836802664,0.0,137,6,4,1364,0.0,1954,1994,256000
838,0.0,2.0,Mn,210,Rec,0,275,Fin,1961.0,838,Fa,10267,55.0,0.0,0,7,6,816,0.0,1918,2000,130000
1728,0.0,6.0,No,40,GLQ,1424,352,Unf,2002.0,1728,TA,10624,70.04995836802664,84.0,0,4,5,1728,0.0,1964,1964,119000
981,0.0,3.0,No,282,ALQ,664,576,Unf,1979.0,981,TA,10530,70.04995836802664,0.0,312,5,6,981,0.0,1971,1971,143250
1973,0.0,3.0,Av,0,Unf,1935,895,Fin,2006.0,1973,Gd,14226,110.0,375.0,45,5,8,1935,0.0,2006,2006,395000
1360,0.0,2.86921381337252,No,384,ALQ,0,572,Unf,1962.0,1360,TA,7134,60.0,0.0,50,5,5,384,0.0,1955,1955,130000
1022,1032.0,3.0,No,695,GLQ,297,390,RFn,2000.0,2054,Gd,12224,70.04995836802664,40.0,48,5,6,992,0.0,2000,2000,244000
1053,0.0,3.0,No,567,Rec,413,750,RFn,1998.0,1053,Ex,8973,69.0,85.0,80,7,5,1008,0.0,1958,1991,150000
1536,0.0,3.0,Av,810,GLQ,726,532,RFn,2002.0,1536,Gd,9135,70.0,113.0,74,5,7,1536,0.0,2002,2003,214000
864,729.0,3.0,No,759,GLQ,80,398,None,2004.0,1593,TA,7415,62.0,0.0,75,5,6,839,0.0,2004,2004,193000
1042,534.0,3.0,No,0,Unf,1042,225,Unf,1928.0,1576,TA,6240,52.0,0.0,0,6,5,1042,0.0,1928,1950,149000
520,0.0,1.0,No,0,Unf,520,240,Unf,1920.0,520,Fa,6324,60.0,0.0,0,6,4,520,0.0,1927,1950,68500
894,0.0,3.0,No,492,BLQ,402,450,None,1968.0,894,TA,8724,109.0,0.0,0,5,5,894,0.0,1968,1968,129000
880,888.0,2.0,Mn,390,None,490,320,Unf,1914.0,1768,TA,10800,60.0,0.0,341,7,7,880,0.0,1914,1970,163000
1700,0.0,4.0,No,1018,Rec,380,447,RFn,1959.0,1700,Gd,10552,70.0,0.0,38,5,5,1398,0.0,1959,1959,165500
848,0.0,1.0,Av,686,GLQ,162,420,Fin,2003.0,848,Gd,4435,37.0,170.0,0,5,6,848,140.0,2003,2003,136500
990,0.0,3.0,No,588,None,402,0,None,1978.5061638868744,990,TA,8070,60.0,0.0,0,5,4,990,0.0,1994,1995,123600
956,1128.0,4.0,No,656,GLQ,300,618,RFn,2004.0,2084,Gd,10142,76.0,0.0,45,5,7,956,0.0,2004,2004,233000
1152,0.0,3.0,No,0,Unf,1092,300,Unf,1950.0,1152,Gd,14000,80.0,0.0,36,8,6,1092,0.0,1950,2004,158500
1687,998.0,5.0,No,523,GLQ,301,672,Fin,1970.0,3082,TA,15863,102.0,0.0,63,3,7,824,0.0,1920,1970,197000
1032,220.0,3.0,No,280,BLQ,752,288,Unf,1950.0,1252,TA,9600,80.0,0.0,0,5,6,1032,0.0,1950,1950,119000
689,703.0,3.0,No,378,GLQ,311,299,Fin,1977.0,1392,TA,10900,70.04995836802664,153.0,36,7,6,689,0.0,1977,1977,161750
691,807.0,3.0,No,592,ALQ,99,409,Fin,1995.0,1498,TA,13031,70.04995836802664,0.0,44,5,6,691,0.0,1995,1996,187500
825,587.0,4.0,No,0,Unf,780,280,Unf,1939.0,1412,TA,6000,50.0,0.0,0,6,6,780,0.0,1939,1950,132500
894,0.0,3.0,No,702,BLQ,192,450,RFn,1967.0,894,Gd,9764,57.0,0.0,0,7,5,894,0.0,1967,2003,130000
1220,0.0,2.0,Av,684,GLQ,515,632,RFn,2006.0,1220,Gd,7406,64.0,84.0,54,5,7,1199,0.0,2006,2006,194000
1659,0.0,2.0,No,1158,GLQ,343,499,Fin,2000.0,1659,Ex,5664,40.0,0.0,59,5,8,1501,0.0,2000,2000,278000
702,779.0,3.0,No,0,Unf,702,343,Fin,1994.0,1481,TA,8125,65.0,0.0,36,5,6,702,0.0,1994,1995,174000
1572,1096.0,3.0,Av,1016,GLQ,556,726,Fin,2003.0,2668,Ex,13688,110.0,664.0,0,5,9,1572,0.0,2003,2004,412500
1214,0.0,2.0,No,698,ALQ,420,461,Unf,1965.0,1214,TA,9170,70.0,0.0,0,7,5,1214,0.0,1965,1965,140000
1055,790.0,2.86921381337252,No,0,Unf,1055,462,RFn,1992.0,1845,Gd,11218,70.0,0.0,104,5,6,1055,0.0,1992,1992,189000
1057,0.0,3.0,No,731,GLQ,326,246,Unf,1953.0,1057,Gd,7922,68.0,0.0,52,7,5,1057,0.0,1953,2007,109000
944,896.0,3.0,No,666,GLQ,278,622,RFn,2001.0,1840,Gd,12420,79.0,0.0,45,5,7,944,0.0,2001,2001,230000
728,728.0,3.0,Av,648,GLQ,80,410,Fin,2005.0,1456,Gd,8199,63.0,0.0,18,5,7,728,36.0,2005,2005,189000
734,0.0,2.0,No,0,Unf,648,440,None,1990.0,1118,TA,4400,40.0,0.0,0,8,6,648,0.0,1920,1950,116000
1502,0.0,3.0,No,0,Unf,1502,644,RFn,2009.0,1502,Gd,9541,79.0,268.0,114,5,7,1502,0.0,2009,2009,233170
372,720.0,3.0,None,0,None,0,0,None,1978.5061638868744,1092,Fa,5600,70.0,0.0,0,5,4,0,0.0,1930,1950,55000
864,0.0,2.0,No,120,LwQ,744,400,Unf,1951.0,864,TA,19138,140.0,0.0,0,5,4,864,0.0,1951,1951,141000
768,0.0,2.0,Av,656,GLQ,112,396,Unf,1988.0,768,TA,8445,70.0,0.0,0,7,5,768,0.0,1972,2007,133000
624,628.0,2.0,No,510,BLQ,90,462,None,1999.0,1252,Gd,2160,24.0,212.0,48,5,7,600,0.0,1999,2000,160000
1372,0.0,3.0,No,0,Unf,1372,529,Fin,2008.0,1372,Gd,8640,72.0,0.0,140,5,7,1372,0.0,2007,2008,250580
882,0.0,2.0,None,0,None,0,308,Unf,1956.0,882,TA,12702,70.0,0.0,45,5,5,0,0.0,1956,1956,97000
1080,1017.0,3.0,No,50,BLQ,499,678,None,1993.0,2097,Gd,11228,59.0,0.0,187,5,7,1080,0.0,1993,1993,228000
866,913.0,2.86921381337252,Av,0,Unf,866,546,RFn,1998.0,1779,Gd,10400,80.0,0.0,36,5,7,866,0.0,1998,1998,197900
1566,0.0,3.0,Av,1078,GLQ,488,750,RFn,2008.0,1566,Gd,9000,75.0,36.0,168,5,8,1566,0.0,2008,2008,262500
684,684.0,3.0,No,0,Unf,684,216,Unf,1930.0,1368,TA,3600,60.0,0.0,158,7,6,684,0.0,1910,1993,114504
1535,0.0,4.0,None,0,None,0,400,Unf,1979.0,1535,TA,7018,64.0,0.0,0,5,5,0,0.0,1979,1979,118858
1092,0.0,2.0,No,895,Rec,197,299,Fin,1957.0,1092,TA,14850,69.0,0.0,0,5,5,1092,0.0,1957,1957,141000
649,668.0,3.0,No,0,Unf,649,250,Unf,1920.0,1317,TA,8500,50.0,0.0,54,4,4,649,0.0,1920,1950,40000
943,0.0,3.0,Gd,828,GLQ,115,472,Fin,1998.0,1638,TA,9042,59.0,0.0,38,5,6,943,0.0,1998,1998,192000
1054,0.0,3.0,Gd,763,GLQ,173,480,RFn,1963.0,1054,Gd,8800,80.0,156.0,0,7,6,936,0.0,1963,1963,137500
1557,0.0,2.0,Gd,0,Unf,1374,420,Fin,2003.0,1557,Gd,3196,70.04995836802664,18.0,20,5,7,1374,0.0,2003,2004,234000
1484,0.0,3.0,Av,998,ALQ,486,487,Unf,1971.0,1484,TA,12243,70.0,0.0,0,6,5,1484,0.0,1971,1971,175000
1301,1116.0,4.0,No,0,Unf,1288,462,Unf,1991.0,2417,Gd,16059,121.0,284.0,82,5,8,1288,127.0,1991,1992,260000
864,0.0,2.0,No,0,Unf,864,0,None,1978.5061638868744,864,TA,4060,56.0,0.0,96,8,5,864,0.0,1922,1950,99900
1099,0.0,3.0,No,0,Unf,1099,352,Unf,1999.0,1099,Gd,9525,75.0,0.0,0,6,5,1099,0.0,1995,2006,144000
1437,0.0,3.0,Gd,1157,ALQ,280,528,RFn,1976.0,1437,Gd,10768,90.0,0.0,21,8,5,1437,0.0,1976,2004,218000
682,548.0,2.0,No,0,Unf,440,440,Unf,1966.0,1230,TA,10440,60.0,0.0,0,6,5,440,0.0,1910,1981,110000
1392,0.0,3.0,No,1040,Rec,352,458,RFn,1957.0,1392,TA,11900,80.0,387.0,0,5,6,1392,0.0,1957,1957,166000
1454,482.0,3.0,No,0,Unf,1406,504,RFn,2000.0,1936,Gd,11194,106.0,40.0,124,5,8,1406,188.0,2000,2000,230500
860,704.0,3.0,No,275,Rec,429,234,Unf,1941.0,1564,Fa,12000,75.0,0.0,0,7,7,704,0.0,1941,1950,174500
958,0.0,2.0,No,958,LwQ,0,440,RFn,1976.0,958,TA,4928,70.04995836802664,0.0,60,6,6,958,0.0,1976,1976,143750
1075,1063.0,2.0,No,0,Unf,849,360,Unf,1910.0,2138,TA,8100,90.0,0.0,156,5,5,849,0.0,1898,1965,106000
960,0.0,2.0,No,250,ALQ,710,308,Unf,1997.0,960,Fa,6000,50.0,0.0,0,4,4,960,0.0,1920,1950,108500
1050,0.0,2.0,No,504,Rec,546,338,Unf,1956.0,1050,TA,9600,80.0,0.0,0,6,5,1050,0.0,1956,1956,128900
952,0.0,2.0,No,0,Unf,952,192,Unf,1916.0,952,Fa,8854,70.04995836802664,0.0,98,6,6,952,0.0,1916,1950,121000
483,504.0,2.86921381337252,No,162,ALQ,321,264,Unf,1972.0,987,Gd,1680,21.0,510.0,0,8,6,483,0.0,1972,2007,118000
1382,0.0,3.0,No,547,Rec,504,459,None,1974.0,1382,TA,11235,75.0,51.0,82,5,4,1051,0.0,1963,1979,148000
1309,0.0,3.0,No,663,ALQ,0,484,RFn,1974.0,1309,Gd,10140,78.0,99.0,0,6,6,1040,0.0,1974,1999,181000
1652,0.0,2.0,Gd,1480,GLQ,120,482,None,2008.0,1652,Gd,5587,64.0,186.0,53,5,8,1600,162.0,2008,2008,392500
1402,0.0,2.0,Av,0,Unf,1258,648,Fin,2006.0,1402,Gd,3922,53.0,72.0,16,5,7,1258,0.0,2006,2007,194201
1204,0.0,2.0,No,866,GLQ,338,412,None,1998.0,1204,TA,4500,32.0,320.0,247,5,6,1204,0.0,1998,1998,162000
1212,0.0,3.0,Av,506,ALQ,0,492,Unf,1978.0,1212,TA,8471,88.0,46.0,12,7,6,506,292.0,1977,1995,151000
1223,904.0,3.0,No,1000,GLQ,223,525,RFn,1994.0,2127,Gd,10944,81.0,448.0,132,5,7,1223,0.0,1994,1994,271000
988,0.0,3.0,No,534,BLQ,246,276,Unf,1950.0,988,TA,7200,60.0,0.0,80,7,5,876,0.0,1950,1950,119000
1060,764.0,2.86921381337252,No,0,Unf,764,520,Unf,1940.0,1824,TA,13515,60.0,0.0,0,6,6,764,0.0,1919,1950,180500
1265,0.0,3.0,Gd,633,ALQ,586,502,RFn,1965.0,1265,Gd,9350,85.0,0.0,92,8,5,1219,0.0,1965,1999,179900
1694,0.0,3.0,Av,1369,GLQ,317,636,RFn,2004.0,1694,Gd,10084,75.0,186.0,57,5,8,1686,0.0,2004,2005,307000
1277,1067.0,3.0,No,0,Unf,1264,889,RFn,1996.0,2344,Gd,10208,79.0,921.0,0,5,7,1264,0.0,1996,1997,265000
1728,0.0,4.0,Gd,936,Rec,396,574,Unf,1976.0,1728,TA,12640,55.0,0.0,0,5,6,1728,0.0,1976,1976,150900
686,564.0,3.0,No,0,Unf,686,280,None,1955.0,1250,Fa,8248,45.0,0.0,0,7,5,686,0.0,1918,1950,116000
1080,0.0,3.0,No,570,BLQ,510,288,Unf,1958.0,1080,TA,9464,75.0,135.0,0,7,6,1080,0.0,1958,1958,136000
1405,0.0,2.0,No,0,Unf,1405,478,RFn,2003.0,1405,Gd,3136,70.04995836802664,163.0,36,5,7,1405,0.0,2003,2003,171750
1337,0.0,3.0,Mn,699,GLQ,638,531,RFn,2003.0,1337,Gd,8450,65.0,0.0,39,5,7,1337,0.0,2003,2003,185000
1153,0.0,4.0,No,692,GLQ,153,484,RFn,1983.0,2353,Ex,13005,94.0,278.0,195,7,7,845,0.0,1980,1980,260000
1118,0.0,3.0,Av,522,ALQ,574,358,Fin,1977.0,1118,TA,9880,76.0,0.0,0,6,6,1096,0.0,1977,1977,171000
742,729.0,3.0,No,381,GLQ,348,440,Unf,1999.0,1471,TA,3230,34.0,894.0,24,5,6,729,0.0,1999,1999,172500
1161,808.0,3.0,No,0,Unf,808,534,RFn,1977.0,1969,TA,11952,92.0,0.0,0,6,7,808,0.0,1977,1977,190000
810,518.0,3.0,No,0,Unf,686,210,Unf,1940.0,1328,TA,9906,57.0,0.0,172,4,4,686,0.0,1925,1950,107000
773,582.0,3.0,No,0,Unf,684,0,None,1978.5061638868744,1355,Gd,6882,60.0,0.0,0,7,6,684,0.0,1914,2006,127000
1072,0.0,2.0,Gd,547,GLQ,0,525,Fin,2005.0,1072,TA,3675,35.0,80.0,28,5,5,547,0.0,2005,2005,145000
2113,0.0,2.0,Gd,1696,GLQ,413,839,Fin,1995.0,2113,Gd,10437,91.0,660.0,46,6,8,2109,0.0,1995,1995,350000
1702,0.0,1.0,No,1540,GLQ,162,1052,Fin,2008.0,1702,Ex,8769,65.0,766.0,72,5,9,1702,0.0,2008,2008,367294
1026,665.0,3.0,No,218,LwQ,808,308,Unf,1924.0,1691,Gd,5000,50.0,0.0,0,6,5,1026,0.0,1924,1950,127000
1414,0.0,2.0,No,0,Unf,1375,398,Fin,2004.0,1414,Gd,3072,70.04995836802664,18.0,20,5,7,1375,0.0,2004,2004,178740
1856,0.0,1.0,Av,1445,GLQ,411,834,Fin,2010.0,1856,Ex,11394,88.0,350.0,0,2,9,1856,0.0,2010,2010,394432
672,546.0,2.86921381337252,No,317,BLQ,355,264,Unf,1972.0,1218,TA,1680,21.0,281.0,28,7,6,672,0.0,1972,1972,118000
1050,745.0,4.0,No,0,Unf,1050,352,Unf,1954.0,1795,TA,12150,81.0,335.0,0,5,5,1050,0.0,1954,1954,131500
1108,0.0,3.0,No,0,Unf,637,280,Unf,1930.0,1108,Gd,7449,57.0,0.0,0,7,7,637,0.0,1930,1950,139400
778,0.0,2.0,No,403,ALQ,212,924,None,1966.0,778,TA,6900,71.0,0.0,25,6,5,740,0.0,1940,1955,120500
1116,0.0,3.0,No,0,Unf,1116,440,Unf,1962.0,1116,TA,10000,87.0,261.0,0,6,6,1116,0.0,1962,1962,160000
912,0.0,3.0,No,842,ALQ,70,336,Unf,1974.0,912,TA,8521,70.0,0.0,0,5,5,912,0.0,1967,1967,125000
1266,0.0,3.0,No,0,Unf,1257,453,Unf,2005.0,1266,Gd,7500,62.0,0.0,144,5,7,1257,0.0,2005,2005,176000
561,668.0,2.0,No,285,ALQ,276,462,Fin,1980.0,1229,TA,1300,24.0,0.0,0,6,6,561,0.0,1980,1980,124000
1472,0.0,3.0,Av,1036,GLQ,336,588,Unf,1980.0,1472,TA,14115,70.04995836802664,225.0,48,5,7,1372,0.0,1980,1980,187500
1079,840.0,3.0,Av,0,Unf,1079,685,RFn,2006.0,1919,Gd,15611,120.0,0.0,51,5,8,1079,0.0,2006,2006,233230
774,1194.0,4.0,No,0,None,774,680,Fin,2009.0,1968,Ex,12003,92.0,84.0,75,5,8,774,0.0,2009,2010,269500
1113,0.0,3.0,No,751,BLQ,392,504,RFn,1987.0,1113,TA,7917,70.04995836802664,174.0,30,7,6,1143,0.0,1976,1976,148000
1516,0.0,3.0,No,196,Rec,975,472,RFn,1964.0,1516,TA,10004,100.0,180.0,0,6,6,1516,0.0,1964,1964,167000
1301,0.0,2.0,Mn,405,LwQ,740,440,Unf,1965.0,1301,Fa,6911,60.0,0.0,0,5,5,1145,0.0,1924,1950,100000
984,620.0,3.0,No,408,None,156,660,Unf,1977.0,1604,TA,10998,60.0,0.0,68,5,5,984,0.0,1941,1960,117000
1689,0.0,3.0,No,0,Unf,1436,480,Unf,1956.0,1689,TA,9855,73.0,0.0,0,5,6,1436,0.0,1956,1956,127500
1430,0.0,3.0,No,0,Unf,1413,605,RFn,2001.0,1430,Gd,16285,67.0,0.0,33,5,7,1413,0.0,2001,2002,187100
833,833.0,3.0,No,0,Unf,588,228,Unf,1925.0,1666,Gd,5100,70.04995836802664,0.0,63,7,8,588,0.0,1925,1996,161000
1646,0.0,2.0,Gd,1373,GLQ,221,482,Fin,2004.0,1646,Gd,3842,44.0,174.0,53,5,8,1594,0.0,2004,2005,275000
1182,1142.0,4.0,No,998,None,177,736,Fin,2005.0,2324,Ex,11924,85.0,286.0,21,5,9,1175,0.0,2005,2006,345000
1940,0.0,3.0,Av,1646,GLQ,284,606,Fin,2010.0,1940,Ex,10159,83.0,450.0,95,5,9,1930,0.0,2009,2010,395192
979,224.0,3.0,No,185,LwQ,524,352,Unf,1950.0,1203,Gd,7015,70.04995836802664,161.0,0,4,5,709,0.0,1950,1950,110000
1686,762.0,4.0,No,1361,GLQ,88,711,RFn,1994.0,2448,Gd,46589,52.0,528.0,76,7,8,1629,0.0,1994,2005,402000
1246,0.0,3.0,No,340,LwQ,0,305,RFn,1959.0,1246,Gd,7500,75.0,0.0,0,7,5,1246,0.0,1959,1994,154000
483,504.0,2.86921381337252,No,321,Rec,162,280,Unf,1987.0,987,TA,1869,21.0,127.0,0,6,6,483,0.0,1970,1970,106000
832,878.0,3.0,No,426,GLQ,406,506,RFn,1993.0,1710,Gd,9291,76.0,120.0,70,5,6,832,0.0,1993,1993,187000
1621,0.0,3.0,Mn,213,ALQ,995,440,None,1984.0,1621,Gd,14145,91.0,0.0,45,7,7,1208,0.0,1984,1998,202500
841,806.0,4.0,No,0,Unf,806,216,Unf,1920.0,1647,Fa,6858,66.0,0.0,66,4,6,806,0.0,1915,1950,128000
979,871.0,3.0,No,595,GLQ,378,467,Fin,1994.0,1850,Gd,29959,70.04995836802664,0.0,98,6,7,973,0.0,1994,1994,248000
2898,0.0,2.0,Av,1165,ALQ,0,665,Fin,1976.0,2898,Gd,15498,70.04995836802664,0.0,72,6,8,1565,0.0,1976,1976,287000
684,876.0,3.0,Av,0,Unf,684,400,Fin,2005.0,1560,Gd,11911,122.0,0.0,38,5,6,684,0.0,2005,2005,174000
1811,0.0,2.0,No,296,ALQ,230,470,Fin,1956.0,1811,Ex,14115,90.0,0.0,0,7,6,1073,0.0,1956,2004,230000
1065,0.0,3.0,No,0,Unf,1065,461,Unf,1974.0,1065,TA,8892,80.0,66.0,0,5,5,1065,0.0,1960,1960,126500
